№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
1,"Благоевград, Банско, Банско, ул. ""България"" 31, 2770","Професионална лесотехническа гимназия  ""Никола Йонков Вапцаров""",община,професионална гимназия
2,"Банско, Благоевград, Банско, 2770, Цар Самуил 29","Професионална гимназия по селско   стопанство и туризъм ""Алеко Константинов""",община,професионална гимназия
3,"Банско, Благоевград, Банско, 2770, ул ""България"" 23",Професионална гимназия по електроника и енергетика,Министерство на образованието и науката,професионална гимназия
4,"Благоевград, Банско, Банско, ул.""Тодор Александров""№13, 2770","Средно общообразователно училище  ""Неофит Рилски""",община,СОУ (І - ХІІ клас)
5,"Банско, Благоевград, Банско, ""Пирин"" 16, 2770","Начално училище ""Св.Паисий Хилендарски""",община,начално (І - ІV клас)
6,"Благоевград, Банско, Добринище, 2777, ул."" Ив.Галчев""№ 21","Основно училище  ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
7,"Благоевград, Банско, Места, 2772, -","Основно училище  ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
8,"Белица, Благоевград, Бабяк, с.Бабяк общ.Белица, 2784","Основно училище   ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
9,"Белица, Благоевград, Белица, 2780, ул.Г.Андрейчин 27","Средно общообразователно училище ""Св.св.Кирил и Методий""",община,СОУ (І - ХІІ клас)
10,"Белица, Благоевград, Белица, Ул.Димо Хаджидимов 17, 2780","Гимназия  ""Никола Йонков Вапцаров""",община,гимназия (ІХ - ХІІ клас)
11,"Белица, Благоевград, Горно Краище, 2783, с.Горно Краище","Основно училище ""П.К.Яворов""",община,основно (І - VІІІ клас)
12,"Благоевград, Белица, Дагоново, 2779, с.Дагоново","Начално училище ""Петко Р. Славейков""",община,начално (І - ІV клас)
13,"Краище, Благоевград, Белица, 1, 2781","Основно училище   ""Св.Паисий Хилендарски""",община,основно (І - VІІІ клас)
14,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Митрополит Борис"" 2","Второ основно училище  ""Димитър Благоев""",община,основно (І - VІІІ клас)
15,"Благоевград, Благоевград, Благоевград, ул.""Осогово""№9, 2700","Четвърто основно училище  "" Димчо Дебелянов""",община,основно (І - VІІІ клас)
16,"Благоевград, Благоевград, Благоевград, бул.""Иван Михайлов"" 62, 2700",Благоевградска професионална гимназия,община,професионална гимназия
17,"Благоевград, Благоевград, Благоевград, 2700, ул. "" Илинден "" № 13","Седмо средно общообразователно  училище ""Кузман Шапкарев""",община,СОУ (І - ХІІ клас)
18,"Благоевград, Благоевград, Благоевград, ж.к.Еленово, 2700","Единадесето основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
19,"Благоевград, Благоевград, Благоевград, ул. ""Марица"" 4, 2700","Езикова гимназия   ""Акад. Людмил Стоянов""",община,профилирана гимназия
20,"Благоевград, Благоевград, Благоевград, 2700, Ул. ""Марица"" №4","Природо-математическа гимназия   ""Акад. Сергей  Павлович  Корольов""",община,профилирана гимназия
21,"Благоевград, Благоевград, Благоевград, ж.к. ""Ален мак"", 2700","Професионална гимназия по икономика   ""Иван Илиев""",Министерство на образованието и науката,професионална гимназия
22,"Благоевград, Благоевград, Благоевград, ул.""Тодор Александров"" №56, 2700","Професионална гимназия по   строителство, архитектура и геодезия "" Васил Левски""",Министерство на образованието и науката,професионална гимназия
23,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Брегалница"" № 2","Средно общообразователно училище с изучаване   на чужди езици ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
24,"Благоевград, Благоевград, Благоевград, 2700, бул.""Св.Св.Кирил и Методи"" № 13","Трето основно училище ""Димитър Талев""",община,основно (І - VІІІ клас)
25,"Благоевград, Благоевград, Благоевград, жк""Еленово"", 2700","Осмо средно общообразователно училище    ""Арсени Костенцев""",община,СОУ (І - ХІІ клас)
26,"Благоевград, Благоевград, Благоевград, 2700, жк""Ален мак"", ул. ""Борис Ангелушев"" 1","Девето основно училище   "" Пейо Крачолов Яворов""",община,основно (І - VІІІ клас)
27,"Благоевград, Благоевград, Благоевград, 2700, "" Васил Левски "" № 60",Професионална гимназия   по текстил и облекло,община,професионална гимназия
28,"Благоевград, Благоевград, Благоевград, 2700, ул.""Свобода""№3","Помощно училище""Свети Паисий Хилендарски""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
29,"Благоевград, Благоевград, Благоевград, 2700, ул.Цанко Церковски"" 2","Национална хуманитарна гимназия   ""Св.св.Кирил и Методий""",община,профилирана гимназия
30,"Благоевград, Благоевград, Благоевград, 2700, ул. ""Яне Сандански"" №1","Средно общообразователно училище   ""Иван Вазов""",община,СОУ (І - ХІІ клас)
31,"Благоевград, Благоевград, Благоевград, 2700, ""Хр. Чернопеев""16","Пето средно общообразователно училище   ""Георги Измирлиев""",община,СОУ (І - ХІІ клас)
32,"Благоевград, Благоевград, Благоевград, ул. ""Яне Сандански"" №1, 2700","Частно вечерно средно   общообразователно училище  ""Димитър & Йоан""",частно финансиране,V - ХІІ клас
33,"Благоевград, Благоевград, Благоевград, 2700, бул. ""Васил Левски"" 63",Частен професионален   КОЛЕЖ ПО   ИКОНОМИКА И МЕНИДЖМЪНТ,частно финансиране,професионален колеж
34,"Баничан, Благоевград, Гоце Делчев, с. Баничан, 2905","Основно училище   ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
35,"Гоце Делчев, Благоевград, Борово, 2904, 0","Основно училище   ""Св. Климент Охридски""",община,основно (І - VІІІ клас)
36,"Гоце Делчев, Благоевград, Брезница, 2972, Село Брезница","Средно общообразователно училище   ""Св. Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
37,"Гоце Делчев, Благоевград, Буково, с. Буково, общ. Гоце Делчев, обл. Благоевград, 2915","Основно училище "" Иван Вазов""",община,основно с (присъединена) група в детска градина
38,"Гоце Делчев, Благоевград, Гоце Делчев, 2900, бул. Гоце Делчев 36","Неврокопска професионална  гимназия ""Димитър Талев""",Министерство на образованието и науката,професионална гимназия
39,"Гоце Делчев, Благоевград, Гоце Делчев, ул. ""Скопие"" №4, 2900","Природо-математическа гимназия  ""Яне Сандански""",община,профилирана гимназия
